PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_USR,HASH_ID
,구멍난 케이크 자르기,dfs graph traversal impl math,,1355000
,유진수,arithmetic impl math string,,1356000
,뒤집힌 덧셈,impl string,,1357000
,하키,geom,,1358000
,복권,bruteforce combinatorics math probability,,1359000
,되돌리기,impl,,1360000
,두 스트링 마스크,,,1361000
,펫,impl,,1362000
,트리,,,1363000
,울타리 치기,math,,1364000
,꼬인 전깃줄,binary search lis in o(n log n),,1365000
,기타 코드,,,1366000
,타브 악보,,,1367000
,물대기,graph mst,,1368000
,배열값,dp greedy math,,1369000
,전쟁 - 화계가 아닌 수계,,,1370000
,가장 많은 글자,impl string,,1371000
,단어 합치기,bfs bitmask dp bitfield dp graph traversal string,,1372000
,2진수 8진수,math string,,1373000
,강의실,ds greedy priority queue sorting,,1374000
,나이,ds dfs graph traversal hashset string,,1375000
,민식우선탐색,binary search ds dfs graph traversal segtree,,1376000
,버블 소트,sorting,,1377000
,증가 수열,,,1378000
,강의실 2,ds greedy priority queue sorting,,1379000
,귀걸이,impl string,,1380000
,요구르트의 유통기한,,,1381000
,메시지,impl,,1384000
,벌집,bfs graph traversal impl,,1385000
,f와 g,d&c fft math,,1386000
,행렬 교환,,,1387000
,바닥 장식,bfs dfs graph traversal,,1388000
,케빈 베이컨의 6단계 법칙,bfs floyd–warshall graph traversal,,1389000
,테트리스,bitmask case work dp bitfield dp impl,,1390000
,종이접기,ad-hoc ds sorting stack,,1391000
,노래 악보,impl,,1392000
,음하철도 구구팔,bruteforce math,,1393000
,암호,combinatorics ds hashset math string,,1394000
,스위치,ds lazyprop segtree,,1395000
,크루스칼의 공,binary search ds dsu graph lca mst pbs tree,,1396000
,인화철도 구구칠,,,1397000
,동전 문제,dp greedy,,1398000
,보물의 위치,ad-hoc math number theory,,1399000
,화물차,dijkstra's graph traversal impl,,1400000
,요컨대 형택이의 사탕봉지,,,1401000
,아무래도이문제는A번난이도인것같다,ad-hoc constructive math,,1402000
,토너먼트 승자,bruteforce math probability,,1404000
,미친 로봇,backtrack bruteforce dfs graph traversal math,,1405000
,에디터,ds ll stack,,1406000
,2로 몇 번 나누어질까,math,,1407000
,24,arithmetic impl math,,1408000
,점 칠하기,bruteforce,,1409000
,패턴의 개수,bitmask dp bitfield dp inclusion and exclusion,,1410000
,비슷한 단어,bruteforce string,,1411000
,일방통행,graph topological sorting,,1412000
,박스 안의 열쇠,combinatorics dp math,,1413000
,불우이웃돕기,graph mst string,,1414000
,사탕,dp knapsack math number theory primality test eratosthenes,,1415000
,팬 서비스,dp,,1416000
,국회의원 선거,ds greedy impl priority queue simulation,,1417000
,K-세준수,bruteforce math number theory primality test eratosthenes,,1418000
,등차수열의 합,ad-hoc case work math,,1419000
,학교 가지마!,flow mfmc,,1420000
,나무꾼 이다솜,bruteforce impl,,1421000
,숫자의 신,greedy sorting,,1422000
,원숭이 키우기,dp,,1423000
,새 앨범,math,,1424000
,원숭이 땅을 옮기다,binary search ternary search,,1425000
,카드 넣기,ds greedy sorting treeset,,1426000
,소트인사이드,sorting string,,1427000
,다각형의 개수,,,1428000
,결혼,bruteforce,,1429000
,공격,bfs graph traversal,,1430000
,시리얼 번호,sorting,,1431000
,그래프 수정,ds graph priority queue topological sorting,,1432000
,화학 실험,,,1433000
,책 정리,arithmetic impl math,,1434000
,네 점,geom,,1435000
,영화감독 숌,bruteforce,,1436000
,수 분해,greedy math,,1437000
,가장 작은 직사각형,geom two-pointer,,1438000
,뒤집기,greedy string,,1439000
,타임머신,bruteforce,,1440000
,나누어 질까,euclidean algorithm inclusion and exclusion math number theory,,1441000
,멋진 수,dp,,1442000
,망가진 계산기,bruteforce,,1443000
,숌 언어,bipartite matching,,1444000
,일요일 아침의 데이트,ds dijkstra's graph,,1445000
,지름길,dijkstra's dp graph,,1446000
,보호 천막,,,1447000
,삼각형 만들기,greedy math sorting,,1448000
,수리공 항승,greedy sorting,,1449000
,냅색문제,binary search meet in the middle,,1450000
,직사각형으로 나누기,bruteforce case work prefix sum,,1451000
,숌 크로스워드,,,1452000
,피시방 알바,impl,,1453000
,세비 게임,,,1454000
,뒤집기 II,greedy,,1455000
,거의 소수,math number theory primality test eratosthenes,,1456000
,정확해,math,,1457000
,종이 겹치기,,,1458000
,걷기,case work math,,1459000
,진욱이의 농장,binary search bruteforce prefix sum,,1460000
,도서관,greedy sorting,,1461000
,퀴즈쇼,dp,,1462000
,1로 만들기,dp,,1463000
,뒤집기 3,ds deque greedy string,,1464000
,배열 고치기,,,1465000
,그림 고치기,,,1466000
,수 지우기,greedy,,1467000
,네트워크,,,1468000
,숌 사이 수열,backtrack bruteforce,,1469000
,올림픽 게임,greedy impl simulation,,1470000
,사탕 돌리기,dfs graph traversal scc,,1471000
,전화번호,,,1472000
,미로 탈출,bfs bitmask graph traversal,,1473000
,밑 줄,bruteforce greedy string,,1474000
,방 번호,impl,,1475000
,날짜 계산,bruteforce math number theory,,1476000
,휴게소 세우기,binary search parametric search,,1477000
,정사각형,,,1478000
,네 부분문자열,bitmask dp bitfield dp,,1479000
,보석 모으기,bitmask dp bitfield dp,,1480000
,숌 사각형,backtrack,,1481000
,같은 자리 수,backtrack dp greedy,,1482000
,저항,,,1483000
,다이어트,math number theory two-pointer,,1484000
,정사각형,geom sorting,,1485000
,등산,dijkstra's floyd–warshall graph,,1486000
,물건 팔기,bruteforce,,1487000
,숌트링,ad-hoc case work,,1488000
,대결,dp greedy,,1489000
,자리수로 나누기,bruteforce math,,1490000
,나선,impl simulation,,1491000
,합,combinatorics dp exponentiation by squaring math modular multiplicative inverse number theory,,1492000
,박스 채우기,d&c greedy math,,1493000
,절댓값 수열,case work math number theory,,1494000
,기타리스트,dp,,1495000
,기타 고르기,,,1496000
,기타콘서트,bitmask bruteforce combinatorics math,,1497000
,주기문,kmp string,,1498000
,뒤집기 수열,bfs ds graph traversal string treeset,,1499000
,최대 곱,math,,1500000
,영어 읽기,ds hashset parsing string,,1501000
,숫자 퍼즐 ≤ 8,backtrack case work constructive impl math,,1502000
,세 수 고르기,bruteforce,,1503000
,특정한 최단 경로,dijkstra's graph,,1504000
,불 켜기,bitmask bruteforce greedy,,1505000
,경찰서,graph scc,,1506000
